id,src,dst
0,0,124
1,0,28
2,1,341
3,1,1347
4,1,27
5,1,246
6,1,24
7,1,15
8,1,13
9,1,55
10,1,125
11,1,63
12,2,30
13,2,115
14,2,17
15,2,76
16,2,18
17,2,45
18,2,726
19,2,43
20,2,23
21,2,22
9948,2,643
9949,2,590
9950,2,136
22,3,17
23,3,17
24,3,66
25,3,20
26,3,83
27,3,26
28,3,85
29,3,104
30,3,14
31,3,14
32,3,1063
33,3,16
34,3,77
35,3,77
36,3,235
37,3,7
38,3,56
39,3,27
40,3,130
41,3,18
42,3,375
43,3,31
44,3,42
45,3,88
46,3,45
47,3,45
48,3,45
49,3,61
50,3,50
51,3,11
52,3,19
53,3,10
54,3,10
55,3,10
56,3,231
57,3,982
58,3,345
59,3,22
60,3,35
61,3,279
62,3,34
63,3,183
64,3,224
65,3,464
66,3,276
67,3,65
68,3,48
69,3,48
70,3,29
71,3,29
72,4,38
73,4,38
74,4,41
75,4,98
76,4,19
77,4,21
78,4,21
79,4,3
80,4,3
81,4,371
82,4,49
83,4,293
84,4,29
85,4,24
86,4,24
87,4,68
88,4,252
89,4,64
90,4,528
91,4,1014
92,4,53
93,4,706
94,4,54
95,4,54
96,4,63
97,4,875
98,4,719
99,4,385
100,4,28
101,4,100
102,4,100
103,4,1208
104,4,32
105,4,56
106,4,2
107,4,1413
108,4,136
109,4,155
110,4,951
111,4,85
112,4,367
113,4,33
114,4,116
115,4,247
116,4,5
117,4,168
118,4,27
119,4,16
120,4,40
121,4,18
9753,4,129
122,5,90
123,5,40
124,5,20
125,5,49
126,5,49
127,5,22
128,5,22
129,5,459
130,5,143
131,5,964
132,5,964
133,5,14
134,5,14
135,5,14
136,5,42
137,5,27
138,5,61
139,5,334
140,5,15
141,5,76
142,5,317
143,5,548
144,5,33
145,5,917
146,5,388
147,5,653
148,5,81
149,5,26
150,5,183
151,5,94
152,5,2
153,5,57
154,5,34
155,5,363
156,5,17
157,5,17
158,5,309
159,5,18
160,5,723
161,5,51
162,5,120
163,5,24
164,5,226
165,5,486
166,5,155
167,5,35
168,5,10
169,5,327
170,5,104
171,5,64
172,6,139
173,6,66
174,6,51
175,6,19
176,6,288
177,6,20
178,6,20
179,6,20
180,6,717
181,6,38
182,6,38
183,6,477
184,6,100
185,6,29
186,6,14
187,6,14
188,6,10
189,6,10
190,6,46
191,6,46
192,6,42
193,6,42
194,6,603
195,6,7
196,6,18
197,6,226
198,6,8
199,6,75
200,6,94
201,6,1041
202,6,1181
203,6,109
204,6,705
205,6,70
206,6,70
207,6,173
208,6,41
209,6,23
210,6,23
211,6,1011
212,6,11
213,6,11
214,6,11
215,6,36
216,6,59
217,6,660
218,6,48
219,6,48
220,6,24
221,6,24
222,6,33
223,6,17
224,6,96
225,6,118
226,6,118
227,6,52
228,6,12
229,6,169
230,6,1326
231,6,1320
232,6,746
233,6,21
234,6,37
235,6,56
236,6,69
237,6,54
238,6,88
239,6,45
240,6,553
241,6,327
242,6,25
243,6,22
244,6,22
245,6,44
246,6,32
247,6,399
248,6,60
249,6,85
250,6,337
251,6,28
252,6,191
253,7,48
254,7,41
255,7,85
256,7,85
257,7,116
258,7,27
259,7,8
260,7,8
261,7,13
262,7,96
263,7,95
264,7,571
265,7,19
266,7,19
267,7,19
268,7,19
269,7,341
270,7,31
271,7,31
272,7,359
273,7,454
274,7,20
275,7,722
276,7,368
277,7,25
278,7,25
279,7,1255
280,7,636
281,7,143
282,7,568
283,7,286
284,7,314
285,7,22
286,7,36
287,7,146
288,7,239
289,7,35
290,7,42
291,7,330
292,7,23
293,7,76
294,7,44
295,7,327
296,7,279
297,7,24
298,7,24
299,7,24
300,7,56
301,7,3
302,7,105
303,7,339
304,7,763
305,7,59
306,7,89
307,7,34
308,7,12
309,7,12
310,7,12
311,7,12
312,7,60
313,7,70
314,7,470
315,7,362
316,7,139
317,7,139
318,7,18
319,7,308
320,7,53
321,7,648
322,7,33
323,7,654
324,7,249
325,7,450
326,7,47
327,7,1245
328,7,69
329,7,925
330,7,86
331,7,16
332,7,29
333,7,349
10182,7,1211
334,8,664
335,8,21
336,8,21
337,8,21
338,8,85
339,8,29
340,8,81
341,8,1329
342,8,56
343,8,56
344,8,1029
345,8,27
346,8,27
347,8,286
348,8,75
349,8,22
350,8,44
351,8,44
352,8,30
353,8,30
354,8,99
355,8,336
356,8,927
357,8,191
358,8,17
359,8,23
360,8,7
361,8,7
362,8,7
363,8,345
364,8,252
365,8,57
366,8,77
367,8,18
368,8,343
369,8,10
370,8,10
371,8,988
372,8,483
373,8,62
374,8,91
375,8,48
376,8,1084
377,8,58
378,8,25
379,8,25
380,8,52
381,8,79
382,8,987
383,8,43
384,8,227
385,8,38
386,8,251
387,8,953
388,8,76
389,8,112
390,8,39
391,8,39
392,8,705
393,8,33
394,8,113
395,8,613
396,8,49
397,8,49
398,8,11
399,8,137
400,8,50
401,8,539
402,8,111
403,8,69
404,8,36
405,8,51
406,8,28
407,8,248
408,8,1321
409,8,223
410,8,171
411,8,9
412,8,105
413,8,31
414,8,124
10193,8,961
10195,8,1207
10197,8,566
10199,8,568
415,9,61
416,9,61
417,9,25
418,9,25
419,9,714
420,9,344
421,9,67
422,9,77
423,9,725
424,9,32
425,9,32
426,9,276
427,9,245
428,9,108
429,9,38
430,9,38
431,9,40
432,9,29
433,9,29
434,9,83
435,9,669
436,9,175
437,9,102
438,9,13
439,9,13
440,9,48
441,9,48
442,9,48
443,9,34
444,9,149
445,9,87
446,9,153
447,9,457
448,9,71
449,9,36
450,9,12
451,9,7
452,9,7
453,9,7
454,9,7
455,9,20
456,9,136
457,9,15
458,9,35
459,9,1218
460,9,101
461,9,22
462,9,22
463,9,1201
464,9,16
465,9,39
466,9,8
467,9,89
468,9,84
469,9,439
470,9,302
471,9,131
472,9,57
473,9,338
474,9,26
475,9,26
476,9,45
477,9,1336
478,9,178
479,9,202
480,9,673
481,9,110
482,9,976
483,9,27
484,9,1010
485,9,65
486,9,65
487,9,82
488,9,124
489,9,328
490,9,198
491,9,451
492,9,19
493,9,139
494,9,148
495,9,63
496,10,29
497,10,29
498,10,13
499,10,996
500,10,305
501,10,42
502,10,42
503,10,31
504,10,31
505,10,31
506,10,25
507,10,25
508,10,158
509,10,99
510,10,43
511,10,43
512,10,654
513,10,15
514,10,15
515,10,94
516,10,94
517,10,76
518,10,495
519,10,957
520,10,303
521,10,1432
522,10,942
523,10,223
524,10,7
525,10,135
526,10,53
527,10,57
528,10,57
529,10,112
530,10,65
531,10,85
532,10,85
533,10,343
534,10,34
535,10,101
536,10,60
537,10,26
538,10,1020
539,10,44
540,10,1405
541,10,14
542,10,721
543,10,290
544,10,216
545,10,38
546,10,18
547,10,18
548,10,18
549,10,341
550,10,123
551,10,555
552,10,12
553,10,35
554,10,460
555,10,198
556,10,1250
557,10,6
558,10,40
559,10,973
560,10,968
561,10,36
562,10,564
563,10,23
564,10,23
565,10,23
566,10,1393
567,10,30
568,10,5
569,10,5
570,10,74
571,10,125
572,10,970
573,10,122
574,10,51
575,10,41
576,10,20
577,10,86
578,10,8
579,10,331
580,10,58
581,10,27
582,10,27
583,10,4
584,10,1013
585,10,113
586,10,98
587,11,202
588,11,991
589,11,338
590,11,338
591,11,236
592,11,30
593,11,33
594,11,33
595,11,33
596,11,1081
597,11,71
598,11,44
599,11,44
600,11,44
601,11,18
602,11,326
603,11,89
604,11,649
605,11,1070
606,11,10
607,11,10
608,11,647
609,11,47
610,11,309
611,11,986
612,11,28
613,11,28
614,11,454
615,11,4
616,11,4
617,11,57
618,11,54
619,11,54
620,11,54
621,11,337
622,11,25
623,11,25
624,11,42
625,11,96
626,11,8
627,11,442
628,11,39
629,11,39
630,11,12
631,11,12
632,11,32
633,11,339
634,11,16
635,11,112
636,11,65
637,11,46
638,11,46
639,11,167
640,11,111
641,11,286
642,11,285
643,11,6
644,11,72
645,11,683
646,11,22
647,11,23
648,11,23
649,11,58
650,11,26
651,11,26
652,11,26
653,11,83
654,11,68
655,11,366
656,11,60
657,11,99
658,11,258
659,11,634
660,11,76
661,11,36
662,11,36
663,11,205
664,11,140
665,11,31
666,11,66
667,11,101
668,11,34
669,11,188
670,11,43
671,11,748
672,11,400
673,11,17
674,11,20
675,11,45
676,11,69
10049,11,1100
10050,11,993
10051,11,1026
677,12,42
678,12,30
679,12,30
680,12,30
681,12,986
682,12,29
683,12,29
684,12,895
685,12,26
686,12,20
687,12,20
688,12,1396
689,12,1014
690,12,23
691,12,23
692,12,23
693,12,23
694,12,23
695,12,23
696,12,334
697,12,334
698,12,25
699,12,61
700,12,33
701,12,33
702,12,33
703,12,137
704,12,79
705,12,557
706,12,455
707,12,442
708,12,81
709,12,81
710,12,588
711,12,46
712,12,126
713,12,988
714,12,24
715,12,24
716,12,990
717,12,296
718,12,1061
719,12,121
720,12,13
721,12,15
722,12,105
723,12,41
724,12,41
725,12,106
726,12,117
727,12,1046
728,12,131
729,12,38
730,12,153
731,12,711
732,12,981
733,12,122
734,12,1048
735,12,283
736,12,180
737,12,62
738,12,95
739,12,140
740,12,1000
741,12,475
742,12,463
743,12,16
744,12,16
745,12,44
746,12,142
747,12,47
748,12,123
749,12,648
750,12,191
751,12,59
752,12,1085
753,12,108
754,12,87
755,12,27
756,12,76
757,12,22
758,12,49
759,12,718
760,12,209
761,12,60
762,12,54
763,12,55
764,12,149
765,12,74
766,12,28
767,12,224
768,12,65
769,13,330
770,13,34
771,13,34
772,13,26
773,13,26
774,13,54
775,13,54
776,13,54
777,13,54
778,13,54
779,13,305
780,13,904
781,13,994
782,13,104
783,13,63
784,13,550
785,13,18
786,13,18
787,13,147
788,13,242
789,13,184
790,13,150
791,13,1007
792,13,996
793,13,24
794,13,404
795,13,49
796,13,17
797,13,277
798,13,577
799,13,945
800,13,1064
801,13,19
802,13,19
803,13,39
804,13,39
805,13,39
806,13,244
807,13,45
808,13,45
809,13,336
810,13,35
811,13,47
812,13,28
813,13,89
814,13,68
815,13,121
816,13,958
817,13,53
818,13,53
819,13,14
820,13,14
821,13,27
822,13,29
823,13,96
824,13,586
825,13,56
826,13,56
827,13,114
828,13,46
829,13,254
830,13,11
831,13,325
832,13,37
833,13,37
834,13,22
835,13,1377
836,13,702
837,13,12
838,13,100
839,13,44
840,13,106
841,13,31
842,13,363
843,13,1096
844,13,94
845,13,292
846,13,703
847,13,41
848,13,32
849,13,42
850,13,452
851,13,43
852,13,185
853,13,52
854,13,204
855,13,40
856,13,384
857,13,113
858,13,1257
859,13,50
860,13,21
861,14,24
862,14,132
863,14,30
864,14,141
865,14,131
866,14,20
867,14,20
868,14,478
869,14,438
870,14,17
871,14,17
872,14,17
873,14,117
874,14,33
875,14,903
876,14,221
877,14,95
878,14,34
879,14,34
880,14,712
881,14,67
882,14,1402
883,14,484
884,14,28
885,14,23
886,14,23
887,14,328
888,14,313
889,14,752
890,14,81
891,14,4
892,14,6
893,14,22
894,14,22
895,14,22
896,14,52
897,14,21
898,14,21
899,14,21
900,14,21
901,14,21
902,14,69
903,14,105
904,14,74
905,14,15
906,14,118
907,14,19
908,14,19
909,14,108
910,14,58
911,14,29
912,14,10
913,14,97
914,14,583
915,14,25
916,14,25
917,14,25
918,14,25
919,14,50
920,14,50
921,14,170
922,14,38
923,14,94
924,14,59
925,14,7
926,14,104
927,14,164
928,14,303
929,14,558
930,14,84
931,14,638
932,14,545
933,14,13
934,14,13
935,14,46
936,14,124
937,14,775
938,14,40
939,14,36
940,14,61
941,14,44
942,14,563
943,14,101
944,14,60
945,14,190
946,14,8
947,14,153
948,14,37
949,14,57
950,14,997
951,15,36
952,15,36
953,15,27
954,15,27
955,15,27
956,15,27
957,15,1223
958,15,26
959,15,26
960,15,26
961,15,37
962,15,37
963,15,37
964,15,941
965,15,104
966,15,14
967,15,14
968,15,14
969,15,14
970,15,760
971,15,295
972,15,30
973,15,30
974,15,30
975,15,33
976,15,73
977,15,449
978,15,22
979,15,22
980,15,1002
981,15,176
982,15,34
983,15,34
984,15,34
985,15,962
986,15,59
987,15,47
988,15,325
989,15,31
