Count,In-degree,Out-degree
105,4,4
5,15,14
1,25,20
1,92,76
2,18,22
2,22,21
8,11,10
20,4,5
1,36,38
1,16,22
5,11,9
1,30,27
1,49,51
2,17,21
1,16,12
1,39,48
1,205,195
2,7,0
22,6,5
1,12,16
1,201,215
1,61,62
1,46,47
1,34,9
4,14,14
19,7,7
126,2,1
2,20,20
1,24,17
7,13,13
2,18,14
1,123,197
21,10,10
1,19,15
2,28,30
1,164,177
7,4,1
3,7,5
77,2,3
2,20,18
28,5,4
1,22,12
1,12,22
1,51,57
9,7,4
3,17,20
2,6,1
1,36,34
2,7,17
4,9,7
1,37,47
22,5,6
1,29,40
1,101,122
1,27,33
2,17,13
1,34,34
1,23,29
1,18,27
1,86,66
1,43,81
1,11,1
2,2,7
1,14,10
1,8,4
42,3,4
2,30,31
6,10,8
2,15,2
1,27,46
191,3,3
6,15,16
1,41,43
1,3,13
1,48,56
1,118,136
1,128,128
1,26,28
1,18,20
2,13,9
10,11,12
1,134,259
2,13,18
1,30,21
1,18,13
42,6,6
2,13,8
2,53,53
1,43,47
2,4,9
1,19,8
1,47,53
25,8,8
26,3,0
1,44,41
1,12,18
1,251,243
2,14,12
1,35,30
1,33,35
1,28,34
1,84,72
1,21,37
1,28,22
2,13,11
1,19,17
3,9,4
8,4,6
1,8,12
1,47,48
6,6,2
3,17,16
1,59,62
1,26,30
1,70,70
1,24,27
1,72,53
1,133,143
2,42,43
1,25,23
22,4,2
1,34,37
11,10,9
1,18,25
1,15,21
1,16,21
1,110,120
1,27,27
2,16,17
1,33,37
1,39,45
1,44,51
1,50,53
1,17,93
1,15,10
4,12,13
2,24,24
1,3,9
18,6,7
1,57,62
1,11,14
1,38,40
1,18,11
1,12,44
1,20,11
1,14,0
1,80,84
1,23,1
12,4,0
1,59,65
1,90,125
1,28,32
4,3,6
1,81,73
1,38,38
1,23,22
1,108,111
2,19,19
1,65,74
18,3,5
5,6,3
1,39,80
1,7,12
1,97,93
2,5,10
1,54,44
10,9,9
1,40,41
8,8,10
2,31,30
1,26,32
3,32,34
1,24,30
1,73,21
1,49,46
1,37,38
990,1,1
1,11,8
1,30,32
1,46,54
1,11,18
1,91,91
70,3,2
6,15,15
1,76,79
1,25,21
1,18,23
9,11,11
1,16,23
1,15,7
1,198,202
1,43,42
1,16,11
1,71,0
1,14,8
2,54,56
2,15,12
1,12,15
3,11,7
4,17,18
1,55,53
1,14,17
1,25,36
1,0,10
8,13,14
1,79,131
3,18,17
1,7,24
1,26,16
1,19,12
5,9,6
3,5,1
1,44,45
1,20,19
1,87,104
1,7,2
1,26,27
2,19,23
1,20,26
1,23,24
1,29,27
1,93,66
1,22,5
10,5,3
2,7,10
1,9,17
1,38,56
1,0,5
1,59,80
1,14,19
1,25,26
1,32,36
1,8,2
1,39,39
1,15,4
1,30,29
1,49,50
15,7,6
2,30,30
1,37,49
3,16,14
1,88,63
87,1,2
1,32,43
2,15,17
23,3,1
1,3,14
3,12,10
1,24,29
1,119,125
1,54,60
1,25,31
3,11,13
1,139,148
1,35,35
1,69,69
1,53,54
1,16,13
8,8,6
1,5,9
1,15,0
1,41,45
1,12,3
1,48,50
1,24,20
1,78,78
1,195,212
2,14,15
1,35,31
2,33,36
1,28,35
1,20,21
1,1,6
1,12,4
1,28,21
1,23,21
4,13,12
6,10,11
1,19,14
5,2,5
10,9,10
1,4,16
1,70,77
1,35,44
1,80,80
2,46,45
84,2,0
1,35,36
1,32,31
1,82,27
1,103,148
9,5,2
1,97,103
1,59,45
1,64,68
2,19,20
15,1,3
1,12,8
355,2,2
1,27,30
1,34,35
3,12,9
2,4,7
1,18,26
1,15,20
1,21,22
12,2,4
7,16,16
1,34,44
1,78,98
1,4,18
8,12,12
1,56,55
1,44,37
2,25,25
1,1,7
3,21,24
2,11,15
1,40,38
1,2,6
1,38,41
3,13,17
4,5,8
3,6,10
39,4,3
1,103,109
19,9,8
1,2,8
6,14,13
1,35,33
1,33,34
1,67,69
1,146,174
1,36,67
1,10,6
1,22,30
1,28,23
3,23,23
1,19,16
1,65,62
368,1,0
1,398,490
2,4,8
1,9,12
1,11,2
1,10,4
1,46,43
1,22,17
1,32,33
1,71,74
1,14,25
1,75,97
1,9,5
1,37,39
1,5,0
1,138,133
2,34,27
5,6,8
1,38,52
1,42,40
3,1,4
1,18,24
1,22,23
3,21,21
13,8,7
1,53,57
1,16,10
1,39,46
1,54,59
4,15,13
1,55,58
3,12,14
2,24,25
2,16,15
4,17,19
4,6,9
2,14,16
16,6,4
1,8,5
1,203,203
2,13,15
1,18,16
5,10,12
6,7,9
1,18,8
18,7,8
2,10,7
2,44,44
3,14,11
1,26,26
2,28,31
1,20,25
1,9,2
1,23,25
7,18,19
69,5,5
1,10,15
1,29,31
1,7,11
1,49,13
1,6,0
7,8,9
5,17,17
7,12,11
4,8,11
1,32,35
8,5,7
2,22,26
1,49,45
27,0,1
1,36,31
2,17,23
1,31,31
2,7,3
1,47,42
