Count,In-degree,Out-degree
131,4,4
4,21,17
1,11,23
1,31,37
1,58,69
1,40,44
1,61,69
2,18,22
1,22,21
14,11,10
49,4,5
1,48,46
1,16,22
8,11,9
1,30,27
1,15,14
3,7,0
34,6,5
1,12,16
1,105,84
1,46,47
3,27,27
1,10,28
35,7,7
1,28,36
1,21,28
3,20,20
8,13,13
2,18,14
21,10,10
1,82,74
1,33,11
1,64,79
1,158,172
19,4,1
5,9,11
1,21,19
1,123,128
15,7,5
110,2,3
1,20,18
1,8,0
2,3,8
1,56,58
1,45,55
1,62,59
1,32,30
1,12,22
1,20,3
13,7,4
1,23,27
1,129,133
1,3,7
4,6,1
1,36,34
1,7,17
11,9,7
2,37,47
36,5,6
1,264,264
1,24,45
1,16,0
1,25,22
1,34,34
1,58,59
1,39,63
1,26,35
1,14,30
4,7,1
1,45,9
3,8,4
63,3,4
1,79,23
519,2,2
1,17,212
2,30,31
1,132,138
11,10,8
1,52,60
1,83,63
5,16,15
1,34,45
1,29,49
251,3,3
1,42,44
1,25,4
5,15,16
2,41,43
1,3,13
12,12,11
1,16,3
1,54,67
1,2,9
3,26,28
3,18,20
1,13,9
11,11,12
1,12,35
5,4,8
1,31,23
52,6,6
1,13,8
1,43,47
2,4,9
1,19,8
1,11,5
1,21,0
33,8,8
47,3,0
1,29,21
1,25,24
6,14,12
1,33,35
2,20,22
1,9,40
6,13,11
1,29,23
1,37,31
1,9,4
1,47,55
1,53,60
11,4,6
1,165,169
1,8,12
7,6,2
1,45,0
1,17,16
1,59,62
2,32,32
1,74,83
1,24,32
1,14,26
1,64,69
2,36,36
1,24,8
1,98,94
1,51,49
1,10,0
1,66,63
1,32,1
2,16,18
1,60,45
1,27,31
33,4,2
1,38,34
9,10,9
1,15,21
1,100,106
2,16,21
1,19,17
1,15,45
3,14,14
1,53,58
8,16,17
1,145,200
1,44,51
1,50,53
1,133,90
1,54,58
5,12,13
2,24,24
1,32,5
1,3,9
23,6,7
1,33,32
1,11,14
1,95,100
2,38,40
1,80,75
1,13,16
1,29,28
1,26,18
1,37,36
1,38,74
1,47,80
1,37,42
1,54,53
2,14,0
2,55,56
1,134,172
1,19,2
1,17,13
1,22,9
1,31,24
1,52,14
1,28,32
2,11,6
1,20,24
3,3,6
1,6,29
1,48,49
1,23,22
4,18,18
1,10,3
1,10,14
3,19,19
1,136,197
20,3,5
10,6,3
1,29,30
2,7,12
1,27,25
1,412,406
1,26,44
1,54,44
19,9,9
7,8,10
1,216,232
1,17,0
1,64,71
2,5,28
1,27,28
2,26,32
1,46,89
1,14,24
1,144,167
4,37,38
1460,1,1
1,48,43
1,69,78
3,11,8
1,31,36
1,30,32
1,164,164
118,3,2
1,23,11
8,12,12
1,52,51
1,27,37
5,15,15
1,35,28
21,4,0
2,63,65
1,16,25
1,0,19
12,11,11
1,28,28
1,16,23
1,115,127
1,33,64
1,110,115
1,84,90
1,19,13
1,53,56
1,82,107
1,5,65
2,54,56
3,15,12
4,1,5
2,24,26
3,11,7
6,17,18
2,14,17
1,32,38
1,48,78
1,11,16
1,203,202
1,6,25
5,13,14
2,18,17
1,21,14
1,85,86
1,279,293
1,19,12
1,6,13
39,5,4
5,9,6
1,17,52
9,5,1
1,21,18
1,20,15
2,20,19
1,53,141
8,7,2
2,26,27
2,19,23
1,20,26
1,28,26
2,17,23
1,14,21
2,29,27
1,11,0
1,41,56
16,5,3
7,7,10
1,28,16
1,19,11
1,12,1
4,10,7
1,14,19
2,34,37
1,32,36
1,9,3
2,8,2
1,4,44
1,28,27
1,15,4
1,81,32
2,21,16
19,7,6
1,30,30
6,16,14
4,29,26
118,1,2
1,12,0
1,27,35
3,11,4
1,15,17
58,3,1
2,12,10
1,55,65
1,85,0
1,92,77
1,15,9
1,25,31
1,18,21
1,21,26
7,11,13
1,36,39
1,38,43
3,23,28
2,18,12
1,69,69
1,12,2
1,53,54
1,9,24
1,180,397
6,8,6
1,17,2
2,36,42
1,93,92
4,5,9
1,54,54
1,41,45
1,12,3
2,44,40
1,12,17
4,14,15
1,26,22
1,19,26
4,20,21
4,1,6
1,6,27
1,23,21
11,13,12
2,18,15
11,10,11
5,5,0
1,117,186
1,29,35
7,2,5
1,33,3
14,9,10
1,31,29
1,55,52
1,47,49
4,17,17
1,9,0
162,2,0
1,26,31
1,17,4
12,5,2
1,10,4
1,17,21
1,4,41
2,12,7
1,26,20
1,68,70
1,1,8
1,115,190
23,1,3
2,12,8
1,44,59
1,4,11
1,38,50
1,118,162
2,47,46
1,42,42
1,27,30
2,13,7
1,535,763
1,34,35
2,12,9
1,31,38
1,22,25
1,191,210
3,21,22
2,31,32
19,2,4
1,22,29
6,16,16
1,100,104
1,179,203
3,20,17
2,4,7
1,311,404
3,25,25
1,1,10
1,1,7
1,8,54
1,21,24
5,2,6
1,16,27
5,5,8
1,7,29
1,37,37
1,27,26
1,35,31
1,6,10
1,226,215
1,50,50
1,18,93
19,9,8
4,2,8
1,46,48
4,14,13
1,35,33
1,33,34
6,19,20
1,63,86
4,10,6
1,28,23
1,72,70
2,23,23
2,13,10
1,9,43
1,14,4
1,16,5
59,4,3
808,1,0
1,99,105
1,113,0
1,5,11
3,9,12
1,222,264
1,80,59
1,23,12
1,57,56
1,22,17
1,8,3
1,25,29
1,74,82
4,6,28
1,34,36
1,68,66
1,27,16
5,9,5
1,96,66
1,29,4
1,69,67
9,6,8
1,8,1
2,19,24
1,25,13
1,14,9
7,1,4
1,54,63
1,23,32
1,18,24
5,21,21
1,20,34
1,16,20
18,8,7
1,0,7
1,50,45
1,82,84
1,16,10
1,20,16
6,15,13
1,33,37
5,12,14
4,24,25
1,17,19
3,14,16
1,57,63
1,16,2
26,6,4
1,81,79
2,13,15
3,18,16
5,10,13
3,10,12
8,7,9
1,23,42
1,65,67
1,53,50
1,43,48
2,6,12
1,36,46
1,103,125
1,25,21
1,71,74
23,7,8
2,15,18
6,14,11
1,35,35
1,19,22
1,128,104
1,38,39
1,23,25
7,18,19
91,5,5
1,49,53
1,10,15
1,39,31
1,19,18
6,8,5
2,51,45
2,29,31
1,10,5
1,96,108
8,6,0
13,8,9
1,20,14
2,8,11
1,16,26
215,2,1
1,5,29
1,14,18
1,25,27
13,5,7
1,71,76
1,22,26
21,0,1
5,6,9
1,128,170
2,19,21
1,31,31
3,7,3
1,118,154
1,25,32
